CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:01:28:758;41,28649143;2,08635715;-0,000112260691821575;-0,000368309368155897;1,109375;219,80896;1000;0;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;63,632812;128;0,196;192;32;2077;126,28;65,6653;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:32:711;41,28752418;2,08937686;-2,40374356508255E-05;-7,88629803806543E-05;0,976562;215,974731;1000;0;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;63,457031;142;0,216;192;0;2077;140,58;65,6213;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:36:641;41,28860389;2,09270993;4,79398295283318E-05;0,000157282910309732;0,839844;210,234375;1000;0;4CAD3C;RYR1FB;1014;1,055;65,566;154;0,062;156;63,457031;154;0,232;-320;128;2077;154;65,4291;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:40:547;41,28969929;2,09621458;9,36249271035194E-05;0,000307168405838311;0,710938;201,829834;1000;0;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;64,335938;163;0,248;1408;576;2077;164,78;66,3904;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:44:406;41,29094485;2,09983001;30,4801045265049;100,000346134738;0,59375;189,772339;1000;1;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;64,160156;166;0,252;1472;1920;2077;168,52;66,9342;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:48:211;41,29211386;2,10348375;68,5800833972171;225,000280812926;0,519531;172,86438;1000;2,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;60,644531;163;0,248;1856;1984;2077;168,52;66,9342;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:51:984;41,29324277;2,10711537;99,0600286405534;325,000104365073;0,503906;152,918701;1000;3,25;4CAD3C;RYR1FB;1014;1,406;66,797;170;0,094;170;60,820312;165;0,252;1632;1312;2077;171,82;67,0166;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:55:766;41,29439239;2,11083528;121,919936978258;399,999806035749;0,550781;133,626709;1000;4;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;62,578125;171;0,26;1632;1248;2077;176,44;67,6538;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:59:586;41,29556109;2,11468191;152,399804434739;499,999374381669;0,652344;118,366699;1000;5;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;66,445312;174;0,264;1024;1312;2077;181,06;69,9609;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:03:469;41,29657904;2,11898931;175,259612750262;574,99874789557;0,808594;107,891235;1000;5,75;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;71,894531;175;0,268;1920;1568;2077;185,46;73,7128;No alert, no SPI, aircraft airbone
